,title,company,salary,summary
0,"['Senior 2 Software Engineer (Remote)', 'Frontend Software Engineer (Early Career)', 'Software Development Engineer I', 'Software Engineer', 'Software Engineer- QA', 'Software Engineer I', 'Software Development Engineer', 'Junior Software Engineer', 'Software Engineer (Remote)', 'Software Engineer LMTS/SMTS', 'Software Engineer', 'Software Development Engineer in Test', 'Software Engineer', 'Software Engineer II (Open to remote work, except the follow...', 'Software Engineer I']",Nordstrom Inc,,"5+ years of experience testing, maintaining, and/or launching software products, and 1 year of experience with software architecture."
1,"['Senior 2 Software Engineer (Remote)', 'Frontend Software Engineer (Early Career)', 'Software Development Engineer I', 'Software Engineer', 'Software Engineer- QA', 'Software Engineer I', 'Software Development Engineer', 'Junior Software Engineer', 'Software Engineer (Remote)', 'Software Engineer LMTS/SMTS', 'Software Engineer', 'Software Development Engineer in Test', 'Software Engineer', 'Software Engineer II (Open to remote work, except the follow...', 'Software Engineer I']",Apple,,"This role involves building scalable web applications that aid in deploying, monitoring and securing the network infrastructure in our retail stores and…"
2,"['Senior 2 Software Engineer (Remote)', 'Frontend Software Engineer (Early Career)', 'Software Development Engineer I', 'Software Engineer', 'Software Engineer- QA', 'Software Engineer I', 'Software Development Engineer', 'Junior Software Engineer', 'Software Engineer (Remote)', 'Software Engineer LMTS/SMTS', 'Software Engineer', 'Software Development Engineer in Test', 'Software Engineer', 'Software Engineer II (Open to remote work, except the follow...', 'Software Engineer I']",Heartdub,,Review and provide comments for the code submitted by colleagues.Optimize the design of the project and improve the availability and maintainability.
3,"['Senior 2 Software Engineer (Remote)', 'Frontend Software Engineer (Early Career)', 'Software Development Engineer I', 'Software Engineer', 'Software Engineer- QA', 'Software Engineer I', 'Software Development Engineer', 'Junior Software Engineer', 'Software Engineer (Remote)', 'Software Engineer LMTS/SMTS', 'Software Engineer', 'Software Development Engineer in Test', 'Software Engineer', 'Software Engineer II (Open to remote work, except the follow...', 'Software Engineer I']",Microsoft,,"Ability to meet Microsoft, customer and/or government security screening requirements are required for this role.Required; Familiarity with Backend services."
4,"['Senior 2 Software Engineer (Remote)', 'Frontend Software Engineer (Early Career)', 'Software Development Engineer I', 'Software Engineer', 'Software Engineer- QA', 'Software Engineer I', 'Software Development Engineer', 'Junior Software Engineer', 'Software Engineer (Remote)', 'Software Engineer LMTS/SMTS', 'Software Engineer', 'Software Development Engineer in Test', 'Software Engineer', 'Software Engineer II (Open to remote work, except the follow...', 'Software Engineer I']","Zoom Video Communications, Inc.",,"3 - 5 years of demonstrable experience testing highly available web applications at scale, inclusive of manual and automated testing;"
5,"['Senior 2 Software Engineer (Remote)', 'Frontend Software Engineer (Early Career)', 'Software Development Engineer I', 'Software Engineer', 'Software Engineer- QA', 'Software Engineer I', 'Software Development Engineer', 'Junior Software Engineer', 'Software Engineer (Remote)', 'Software Engineer LMTS/SMTS', 'Software Engineer', 'Software Development Engineer in Test', 'Software Engineer', 'Software Engineer II (Open to remote work, except the follow...', 'Software Engineer I']",PlayStation Global,,"Proficient in the software developing life cycle, including coding standards, code reviews, source control management, build processes, testing and operations."
6,"['Senior 2 Software Engineer (Remote)', 'Frontend Software Engineer (Early Career)', 'Software Development Engineer I', 'Software Engineer', 'Software Engineer- QA', 'Software Engineer I', 'Software Development Engineer', 'Junior Software Engineer', 'Software Engineer (Remote)', 'Software Engineer LMTS/SMTS', 'Software Engineer', 'Software Development Engineer in Test', 'Software Engineer', 'Software Engineer II (Open to remote work, except the follow...', 'Software Engineer I']",Hewlett Packard Enterprise,,"Participates as a member of project team of other software systems engineers and internal and outsourced development partners to develop reliable, cost…"
7,"['Senior 2 Software Engineer (Remote)', 'Frontend Software Engineer (Early Career)', 'Software Development Engineer I', 'Software Engineer', 'Software Engineer- QA', 'Software Engineer I', 'Software Development Engineer', 'Junior Software Engineer', 'Software Engineer (Remote)', 'Software Engineer LMTS/SMTS', 'Software Engineer', 'Software Development Engineer in Test', 'Software Engineer', 'Software Engineer II (Open to remote work, except the follow...', 'Software Engineer I']",High Alpha Innovation,,"Amplio is a cloud-based, diagnostic solution that enables companies to identify and mitigate supply chain risk across their supply base, built by industry…"
8,"['Senior 2 Software Engineer (Remote)', 'Frontend Software Engineer (Early Career)', 'Software Development Engineer I', 'Software Engineer', 'Software Engineer- QA', 'Software Engineer I', 'Software Development Engineer', 'Junior Software Engineer', 'Software Engineer (Remote)', 'Software Engineer LMTS/SMTS', 'Software Engineer', 'Software Development Engineer in Test', 'Software Engineer', 'Software Engineer II (Open to remote work, except the follow...', 'Software Engineer I']",Home Depot / THD,,Exposure to source code version control.Exposure to an object-oriented programming language (preferably Java).Must be eighteen years of age or older.
9,"['Senior 2 Software Engineer (Remote)', 'Frontend Software Engineer (Early Career)', 'Software Development Engineer I', 'Software Engineer', 'Software Engineer- QA', 'Software Engineer I', 'Software Development Engineer', 'Junior Software Engineer', 'Software Engineer (Remote)', 'Software Engineer LMTS/SMTS', 'Software Engineer', 'Software Development Engineer in Test', 'Software Engineer', 'Software Engineer II (Open to remote work, except the follow...', 'Software Engineer I']",Salesforce,,"At least 5 years professional experience with some combination of Java, C# or other object oriented languages.Comfortable with programming for concurrency."
